Product_Collection,Vertical_Segment,Launch_Year,Lithography,Recommended_Customer_Price,nb_of_Cores,nb_of_Threads,Processor_Base_Frequency,Cache,Instruction_Set,TDP,Max_Memory_Size,Max_nb_of_Memory_Channels,Max_Memory_Bandwidth
Intel® Pentium® Processor G Series,Desktop,2015,22,64,2,2,2.9,3,64-bit,35,32,2,21.3
Intel® Pentium® Processor G Series,Desktop,2015,22,75,2,2,3,3,64-bit,35,32,2,25.6
Intel® Pentium® Processor G Series,Desktop,2015,22,86,2,2,3.6,3,64-bit,53,32,2,25.6
5th Generation Intel® Core™ i7 Processors,Mobile,2015,14,393,2,4,2.6,4,64-bit,15,16,2,25.6
5th Generation Intel® Core™ i7 Processors,Mobile,2015,14,426,2,4,2.2,4,64-bit,15,16,2,25.6
5th Generation Intel® Core™ i7 Processors,Mobile,2015,14,393,2,4,2.4,4,64-bit,15,16,2,25.6
5th Generation Intel® Core™ i7 Processors,Mobile,2015,14,426,2,4,2,4,64-bit,15,16,2,25.6
5th Generation Intel® Core™ i7 Processors,Mobile,2015,14,426,2,4,3.1,4,64-bit,28,16,2,25.6
Intel® Atom™ Processor E Series,Embedded,2014.75,22,31,2,2,1.33,1,64-bit,3,8,1,35.07890148212729
5th Generation Intel® Core™ M Processors,Mobile,2014.75,14,281,2,4,800,4,64-bit,4.5,16,2,25.6
5th Generation Intel® Core™ M Processors,Mobile,2014.75,14,281,2,4,900,4,64-bit,4.5,16,2,25.6
5th Generation Intel® Core™ M Processors,Mobile,2014.75,14,281,2,4,1.1,4,64-bit,4.5,16,2,25.6
5th Generation Intel® Core™ M Processors,Mobile,2014.75,14,281,2,4,1.2,4,64-bit,4.5,16,2,25.6
Intel® Pentium® Processor N Series,Mobile,2014.5,22,161,4,4,2.16,2,64-bit,7.5,8,2,21.32
Intel® Celeron® Processor N Series,Mobile,2014.5,22,107,2,2,1.58,1,64-bit,4.5,4,1,10.66
Intel® Celeron® Processor N Series,Mobile,2014.5,22,107,2,2,2.16,1,64-bit,7.5,8,2,21.32
Intel® Celeron® Processor N Series,Mobile,2014.5,22,107,4,4,1.83,2,64-bit,7.5,8,2,21.32
Intel® Core™ X-series Processors,Desktop,2014.5,22,389,6,12,3.3,15,64-bit,140,64,4,68
Intel® Core™ X-series Processors,Desktop,2014.5,22,583,6,12,3.5,15,64-bit,140,64,4,68
Intel® Core™ X-series Processors,Desktop,2014.5,22,999,8,16,3,20,64-bit,140,64,4,68
Intel® Atom™ Processor Z Series,Mobile,2014.5,22,310.6126932084309,4,4,13.353362115488396,2,64-bit,62.42167580910587,4,2,12.8
Intel® Xeon® Processor E5 v3 Family,Server,2014.5,22,213,6,6,1.6,15,64-bit,85,768,4,51
Intel® Xeon® Processor E5 v3 Family,Embedded,2014.5,22,441,6,12,2,15,64-bit,52,768,4,59
Intel® Xeon® Processor E5 v3 Family,Server,2014.5,22,306,6,6,1.9,15,64-bit,85,768,4,51
Intel® Xeon® Processor E5 v3 Family,Embedded,2014.5,22,779,8,16,2.3,20,64-bit,75,768,4,59
Intel® Xeon® Processor E5 v3 Family,Server,2014.5,22,417,6,12,2.4,15,64-bit,85,768,4,59
Intel® Xeon® Processor E5 v3 Family,Server,2014.5,22,444,4,8,3,10,64-bit,105,768,4,59
Intel® Xeon® Processor E5 v3 Family,Embedded,2014.5,22,1,10,20,2,25,64-bit,75,768,4,59
Intel® Xeon® Processor E5 v3 Family,Server,2014.5,22,667,8,16,2.4,20,64-bit,85,768,4,59
Intel® Xeon® Processor E5 v3 Family,Server,2014.5,22,612,8,16,1.8,20,64-bit,55,768,4,59
Intel® Xeon® Processor E5 v3 Family,Server,2014.5,22,996,4,8,3.5,15,64-bit,135,768,4,68
Intel® Xeon® Processor E5 v3 Family,Server,2014.5,22,939,8,16,2.6,20,64-bit,90,768,4,59
Intel® Xeon® Processor E5 v3 Family,Server,2014.5,22,1,6,12,3.4,20,64-bit,135,768,4,68
Intel® Xeon® Processor E5 v3 Family,Server,2014.5,22,1166,10,20,2.3,25,64-bit,105,768,4,68
Intel® Xeon® Processor E5 v3 Family,Embedded,2014.5,22,1,12,24,1.8,30,64-bit,75,768,4,68
Intel® Xeon® Processor E5 v3 Family,Server,2014.5,22,1,12,24,1.8,30,64-bit,65,768,4,68
Intel® Xeon® Processor E5 v3 Family,Embedded,2014.5,22,1,12,24,2.2,30,64-bit,105,768,4,68
Intel® Xeon® Processor E5 v3 Family,Server,2014.5,22,1445,10,20,2.6,25,64-bit,105,768,4,68
Intel® Xeon® Processor E5 v3 Family,Server,2014.5,22,2,8,16,3.2,20,64-bit,135,768,4,68
Intel® Xeon® Processor E5 v3 Family,Server,2014.5,22,1589,12,24,2.3,30,64-bit,120,768,4,68
Intel® Xeon® Processor E5 v3 Family,Server,2014.5,22,1745,12,24,2.5,30,64-bit,120,768,4,68
Intel® Xeon® Processor E5 v3 Family,Server,2014.5,22,1,14,28,2,35,64-bit,120,768,4,68
Intel® Xeon® Processor E5 v3 Family,Server,2014.5,22,2141,10,20,3.1,25,64-bit,160,768,4,68
Intel® Xeon® Processor E5 v3 Family,Server,2014.5,22,2090,12,24,2.6,30,64-bit,135,768,4,68
Intel® Xeon® Processor E5 v3 Family,Server,2014.5,22,1,8,16,3.2,20,64-bit,140,768,4,68
Intel® Xeon® Processor E5 v3 Family,Server,2014.5,22,2424,14,28,2.3,35,64-bit,120,768,4,68
Intel® Xeon® Processor E5 v3 Family,Server,2014.5,22,1,8,16,3,20,64-bit,140,768,4,68
Intel® Xeon® Processor E5 v3 Family,Server,2014.5,22,583,6,12,3.5,15,64-bit,140,768,4,68
Intel® Xeon® Processor E5 v3 Family,Server,2014.5,22,2702,14,28,2.6,35,64-bit,145,768,4,68
Intel® Xeon® Processor E5 v3 Family,Server,2014.5,22,372,4,8,3.7,10,64-bit,140,768,4,68
Intel® Xeon® Processor E5 v3 Family,Server,2014.5,22,310.6126932084309,16,32,2.3,40,64-bit,135,768,4,68
Intel® Xeon® Processor E5 v3 Family,Server,2014.5,22,294,4,8,3.5,10,64-bit,140,768,4,68
Intel® Xeon® Processor E5 v3 Family,Server,2014.5,22,310.6126932084309,18,36,2.3,45,64-bit,145,768,4,68
4th Generation Intel® Core™ i7 Processors,Mobile,2014.5,22,426,2,4,3,4,64-bit,28,16,2,25.6
5th Generation Intel® Core™ M Processors,Mobile,2014.5,14,310.6126932084309,2,4,800,4,64-bit,4.5,16,2,25.6
5th Generation Intel® Core™ M Processors,Mobile,2014.5,14,310.6126932084309,2,4,800,4,64-bit,4.5,16,2,25.6
5th Generation Intel® Core™ M Processors,Mobile,2014.5,14,310.6126932084309,2,4,1.1,4,64-bit,4.5,16,2,25.6
4th Generation Intel® Core™ i7 Processors,Mobile,2014.5,22,434,4,8,2.2,6,64-bit,47,32,2,25.6
4th Generation Intel® Core™ i7 Processors,Mobile,2014.5,22,434,4,8,2.5,6,64-bit,47,32,2,25.6
4th Generation Intel® Core™ i7 Processors,Mobile,2014.5,22,623,4,8,2.8,6,64-bit,47,32,2,25.6
4th Generation Intel® Core™ i5 Processors,Mobile,2014.5,22,315,2,4,2.6,3,64-bit,28,16,2,25.6
4th Generation Intel® Core™ i5 Processors,Mobile,2014.5,22,225,2,4,2.9,3,64-bit,47,32,2,25.6
4th Generation Intel® Core™ i5 Processors,Mobile,2014.5,22,315,2,4,2.8,3,64-bit,28,16,2,25.6
4th Generation Intel® Core™ i3 Processors,Desktop,2014.5,22,117,2,4,3.6,3,64-bit,54,32,2,25.6
4th Generation Intel® Core™ i3 Processors,Desktop,2014.5,22,117,2,4,3.1,3,64-bit,35,32,2,25.6
4th Generation Intel® Core™ i3 Processors,Desktop,2014.5,22,138,2,4,3.8,4,64-bit,54,32,2,25.6
4th Generation Intel® Core™ i3 Processors,Desktop,2014.5,22,138,2,4,3.2,4,64-bit,35,32,2,25.6
Intel® Pentium® Processor G Series,Desktop,2014.5,22,50,2,2,3.2,3,64-bit,53,32,2,21.3
Intel® Pentium® Processor G Series,Desktop,2014.5,22,64,2,2,2.8,3,64-bit,35,32,2,21.3
Intel® Pentium® Processor G Series,Desktop,2014.5,22,75,2,2,2.9,3,64-bit,35,32,2,25.6
Intel® Pentium® Processor G Series,Desktop,2014.5,22,75,2,2,3.5,3,64-bit,53,32,2,25.6
Intel® Pentium® Processor 3000 Series,Mobile,2014.25,22,134,2,2,2.4,2,64-bit,37,32,2,25.6
Intel® Celeron® Processor G Series,Desktop,2014.25,22,42,2,2,2.8,2,64-bit,53,32,2,21.3
Intel® Celeron® Processor G Series,Desktop,2014.25,22,42,2,2,2.5,2,64-bit,35,32,2,21.3
Intel® Celeron® Processor G Series,Desktop,2014.25,22,52,2,2,2.9,2,64-bit,53,32,2,21.3
Intel® Quark™ SoC X1000 Series,Embedded,2014.25,32,12.85,1,1,400,16,32-bit,2.2,2,1,1.6
Intel® Atom™ Processor C Series,Embedded,2014.25,22,60,2,2,1.25,1,NA,6,16,1,35.07890148212729
Intel® Atom™ Processor C Series,Embedded,2014.25,22,98,4,4,1.25,2,NA,9.5,32,2,35.07890148212729
Intel® Atom™ Processor Z Series,Mobile,2014.25,22,310.6126932084309,4,4,13.353362115488396,2,64-bit,62.42167580910587,4,2,12.8
Intel® Atom™ Processor Z Series,Mobile,2014.25,22,310.6126932084309,4,4,13.353362115488396,2,64-bit,62.42167580910587,4,2,12.8
Intel® Atom™ Processor Z Series,Mobile,2014.25,22,310.6126932084309,4,4,13.353362115488396,2,64-bit,62.42167580910587,4,2,12.8
Intel® Atom™ Processor Z Series,Mobile,2014.25,22,20,4,4,1.33,2,64-bit,62.42167580910587,2,1,10.6
Intel® Atom™ Processor Z Series,Mobile,2014.25,22,20,4,4,1.33,2,64-bit,62.42167580910587,1,1,5.3
Intel® Atom™ Processor Z Series,Mobile,2014.25,22,310.6126932084309,4,4,1.49,2,64-bit,62.42167580910587,4,2,21.3
Intel® Quark™ SoC X1000 Series,Embedded,2014.25,32,13.39,1,1,400,16,32-bit,2.2,2,1,1.6
Intel® Quark™ SoC X1000 Series,Embedded,2014.25,32,11.23,1,1,400,16,32-bit,2.2,2,1,1.6
Intel® Quark™ SoC X1000 Series,Embedded,2014.25,32,12.31,1,1,400,16,32-bit,2.2,2,1,1.6
Intel® Quark™ SoC X1000 Series,Embedded,2014.25,32,11.77,1,1,400,16,32-bit,2.2,2,1,1.6
Intel® Xeon® Processor E3 v3 Family,Server,2014.25,22,213,4,4,3.3,8,64-bit,84,32,2,25.6
Intel® Xeon® Processor E3 v3 Family,Server,2014.25,22,240,4,8,3.4,8,64-bit,80,32,2,25.6
Intel® Xeon® Processor E3 v3 Family,Server,2014.25,22,278,4,8,2,8,64-bit,25,32,2,25.6
Intel® Xeon® Processor E3 v3 Family,Server,2014.25,22,262,4,8,3.5,8,64-bit,80,32,2,25.6
Intel® Xeon® Processor E3 v3 Family,Server,2014.25,22,276,4,8,3.5,8,64-bit,84,32,2,25.6
Intel® Xeon® Processor E3 v3 Family,Server,2014.25,22,328,4,8,3.6,8,64-bit,80,32,2,25.6
Intel® Xeon® Processor E3 v3 Family,Server,2014.25,22,328,4,8,2.7,8,64-bit,45,32,2,25.6
Intel® Xeon® Processor E3 v3 Family,Server,2014.25,22,339,4,8,3.6,8,64-bit,84,32,2,25.6
Intel® Xeon® Processor E3 v3 Family,Server,2014.25,22,612,4,8,3.7,8,64-bit,82,32,2,25.6
Intel® Xeon® Processor E3 v3 Family,Server,2014.25,22,662,4,8,3.7,8,64-bit,84,32,2,25.6
Intel® Xeon® Processor E3 v3 Family,Server,2014.25,22,774,4,8,3.2,8,64-bit,65,32,2,25.6
Intel® Xeon Phi™ x100 Product Family,Server,2014.25,22,310.6126932084309,61,8.731416549789621,1.24,30.5,64-bit,300,16,16,352
4th Generation Intel® Core™ i3 Processors,Mobile,2014.25,22,281,2,4,1.6,3,64-bit,11.5,16,2,25.6
4th Generation Intel® Core™ i7 Processors,Mobile,2014.25,22,393,2,4,2,4,64-bit,15,16,2,25.6
4th Generation Intel® Core™ i7 Processors,Desktop,2014.25,22,303,4,8,2.7,8,64-bit,45,32,2,25.6
4th Generation Intel® Core™ i7 Processors,Desktop,2014.25,22,303,4,8,3.2,8,64-bit,65,32,2,25.6
4th Generation Intel® Core™ i7 Processors,Desktop,2014.25,22,303,4,8,3.6,8,64-bit,84,32,2,25.6
4th Generation Intel® Core™ i7 Processors,Desktop,2014.25,22,303,4,8,2.2,8,64-bit,35,32,2,25.6
4th Generation Intel® Core™ i7 Processors,Desktop,2014.25,22,339,4,8,4,8,64-bit,88,32,2,25.6
4th Generation Intel® Core™ i7 Processors,Mobile,2014.25,22,434,4,8,2.1,6,64-bit,47,32,2,25.6
4th Generation Intel® Core™ i7 Processors,Mobile,2014.25,22,378,4,8,2.3,6,64-bit,37,32,2,25.6
4th Generation Intel® Core™ i7 Processors,Mobile,2014.25,22,378,4,8,2.3,6,64-bit,37,32,2,25.6
4th Generation Intel® Core™ i7 Processors,Mobile,2014.25,22,378,4,8,2.5,6,64-bit,47,32,2,25.6
4th Generation Intel® Core™ i7 Processors,Mobile,2014.25,22,378,4,8,2.5,6,64-bit,47,32,2,25.6
4th Generation Intel® Core™ i5 Processors,Mobile,2014.25,22,315,2,4,1.4,3,64-bit,15,16,2,25.6
4th Generation Intel® Core™ i5 Processors,Mobile,2014.25,22,281,2,4,1.6,3,64-bit,11.5,16,2,25.6
4th Generation Intel® Core™ i5 Processors,Mobile,2014.25,22,281,2,4,1.7,3,64-bit,15,16,2,25.6
4th Generation Intel® Core™ i5 Processors,Mobile,2014.25,22,225,2,4,2.6,3,64-bit,37,32,2,25.6
4th Generation Intel® Core™ i5 Processors,Desktop,2014.25,22,182,4,4,3.2,6,64-bit,84,32,2,25.6
4th Generation Intel® Core™ i5 Processors,Desktop,2014.25,22,182,4,4,2.9,6,64-bit,65,32,2,25.6
4th Generation Intel® Core™ i5 Processors,Desktop,2014.25,22,182,4,4,1.9,6,64-bit,35,32,2,25.6
4th Generation Intel® Core™ i5 Processors,Embedded,2014.25,22,266,2,4,2.9,3,64-bit,37,16,2,25.6
4th Generation Intel® Core™ i5 Processors,Embedded,2014.25,22,266,2,4,1.8,3,64-bit,25,16,2,25.6
4th Generation Intel® Core™ i5 Processors,Desktop,2014.25,22,192,4,4,2,6,64-bit,35,32,2,25.6
4th Generation Intel® Core™ i5 Processors,Desktop,2014.25,22,192,4,4,3,6,64-bit,65,32,2,25.6
4th Generation Intel® Core™ i5 Processors,Desktop,2014.25,22,192,4,4,3.3,6,64-bit,84,32,2,25.6
4th Generation Intel® Core™ i5 Processors,Desktop,2014.25,22,213,4,4,2.5,6,64-bit,45,32,2,25.6
4th Generation Intel® Core™ i5 Processors,Desktop,2014.25,22,213,4,4,3.2,6,64-bit,65,32,2,25.6
4th Generation Intel® Core™ i5 Processors,Desktop,2014.25,22,242,4,4,3.5,6,64-bit,88,32,2,25.6
4th Generation Intel® Core™ i5 Processors,Desktop,2014.25,22,213,4,4,3.5,6,64-bit,84,32,2,25.6
4th Generation Intel® Core™ i3 Processors,Mobile,2014.25,22,281,2,4,1.9,3,64-bit,15,16,2,25.6
4th Generation Intel® Core™ i3 Processors,Mobile,2014.25,22,275,2,4,1.9,3,64-bit,15,16,2,25.6
4th Generation Intel® Core™ i3 Processors,Desktop,2014.25,22,117,2,4,3.5,3,64-bit,54,32,2,25.6
4th Generation Intel® Core™ i3 Processors,Desktop,2014.25,22,117,2,4,3,3,64-bit,35,32,2,25.6
4th Generation Intel® Core™ i3 Processors,Mobile,2014.25,22,281,2,4,2,3,64-bit,15,16,2,25.6
4th Generation Intel® Core™ i3 Processors,Embedded,2014.25,22,225,2,4,1.8,3,64-bit,25,32,2,25.6
4th Generation Intel® Core™ i3 Processors,Mobile,2014.25,22,225,2,4,2.6,3,64-bit,37,32,2,25.6
4th Generation Intel® Core™ i3 Processors,Embedded,2014.25,22,225,2,4,2.6,3,64-bit,37,32,2,25.6
4th Generation Intel® Core™ i3 Processors,Desktop,2014.25,22,138,2,4,3.7,4,64-bit,54,32,2,25.6
4th Generation Intel® Core™ i3 Processors,Desktop,2014.25,22,138,2,4,3.1,4,64-bit,35,32,2,25.6
4th Generation Intel® Core™ i3 Processors,Desktop,2014.25,22,138,2,4,3.6,4,64-bit,54,32,2,25.6
4th Generation Intel® Core™ i3 Processors,Embedded,2014.25,22,138,2,4,2.6,4,64-bit,35,32,2,25.6
Intel® Pentium® Processor G Series,Desktop,2014.25,22,54,2,2,3.1,3,64-bit,53,32,2,21.3
Intel® Pentium® Processor G Series,Desktop,2014.25,22,64,2,2,2.7,3,64-bit,35,32,2,21.3
Intel® Pentium® Processor G Series,Desktop,2014.25,22,72,2,2,3.2,3,64-bit,53,32,2,21.3
Intel® Pentium® Processor G Series,Desktop,2014.25,22,75,2,2,3.3,3,64-bit,53,32,2,25.6
Intel® Pentium® Processor G Series,Desktop,2014.25,22,75,2,2,2.8,3,64-bit,35,32,2,25.6
Intel® Pentium® Processor G Series,Desktop,2014.25,22,75,2,2,3.4,3,64-bit,53,32,2,25.6
Intel® Celeron® Processor 2000 Series,Mobile,2014.25,22,75,2,2,2.2,2,64-bit,37,32,2,25.6
Intel® Pentium® Processor N Series,Mobile,2014,22,161,4,4,2.16,2,64-bit,7.5,8,2,35.07890148212729
Intel® Pentium® Processor 1000 Series,Embedded,2014,22,156,2,2,1.4,6,64-bit,40,384,2,38.4
Intel® Celeron® Processor G Series,Desktop,2014,22,42,2,2,2.7,2,64-bit,53,32,2,21.3
Intel® Celeron® Processor G Series,Desktop,2014,22,42,2,2,2.4,2,64-bit,35,32,2,21.3
Intel® Celeron® Processor G Series,Embedded,2014,22,42,2,2,2.2,2,64-bit,35,32,2,21.3
Intel® Celeron® Processor G Series,Desktop,2014,22,52,2,2,2.8,2,64-bit,53,32,2,21.3
Intel® Celeron® Processor N Series,Mobile,2014,22,107,2,2,1.58,1,64-bit,4.3,4,1,35.07890148212729
Intel® Celeron® Processor N Series,Mobile,2014,22,107,2,2,2.16,1,64-bit,7.5,8,2,35.07890148212729
Intel® Celeron® Processor N Series,Mobile,2014,22,107,4,4,1.83,2,64-bit,7.5,8,2,35.07890148212729
Intel® Core™ X-series Processors,Mobile,2014,22,310.6126932084309,4,8,3.1,8,64-bit,57,32,2,25.6
Intel® Atom™ Processor Z Series,Mobile,2014,22,310.6126932084309,2,2,13.353362115488396,1,64-bit,62.42167580910587,4,2,8.5
Intel® Atom™ Processor Z Series,Mobile,2014,22,310.6126932084309,2,2,13.353362115488396,1,64-bit,62.42167580910587,4,2,8.5
Intel® Atom™ Processor Z Series,Mobile,2014,22,21,4,4,1.33,2,64-bit,62.42167580910587,1,1,5.3
Intel® Atom™ Processor Z Series,Mobile,2014,22,310.6126932084309,4,4,1.33,2,64-bit,62.42167580910587,2,1,10.6
Intel® Atom™ Processor Z Series,Mobile,2014,22,18,4,4,1.33,2,64-bit,62.42167580910587,2,1,10.6
Intel® Atom™ Processor Z Series,Mobile,2014,22,17,4,4,1.33,2,64-bit,62.42167580910587,1,1,5.3
Intel® Atom™ Processor Z Series,Mobile,2014,22,30,4,4,1.33,2,64-bit,62.42167580910587,4,2,17.1
Intel® Atom™ Processor Z Series,Mobile,2014,22,310.6126932084309,4,4,1.33,2,64-bit,62.42167580910587,2,1,10.6
Intel® Atom™ Processor Z Series,Mobile,2014,22,35,4,4,1.46,2,64-bit,62.42167580910587,4,2,17.1
Intel® Atom™ Processor Z Series,Mobile,2014,22,310.6126932084309,4,4,1.49,2,64-bit,62.42167580910587,2,1,10.6
Intel® Atom™ Processor Z Series,Mobile,2014,22,40,4,4,1.59,2,64-bit,62.42167580910587,4,2,17.1
Intel® Quark™ SoC X1000 Series,Embedded,2014,32,10.7,1,1,400,16,32-bit,2.2,2,1,1.6
Intel® Quark™ SoC X1000 Series,Embedded,2014,32,10.16,1,1,400,16,32-bit,2.2,2,1,1.6
Intel® Xeon® Processor E5 v2 Family,Server,2014,22,1,10,20,2.4,25,64-bit,95,384,3,38.4
Intel® Xeon® Processor E5 v2 Family,Server,2014,22,1,10,20,1.7,25,64-bit,60,384,3,38.4
Intel® Xeon® Processor E5 v2 Family,Server,2014,22,1,8,16,2.5,20,64-bit,95,384,3,38.4
Intel® Xeon® Processor E5 v2 Family,Server,2014,22,4,12,24,2.4,30,64-bit,115,768,4,59.7
Intel® Xeon® Processor E5 v2 Family,Embedded,2014,22,1,10,20,1.8,25,64-bit,70,384,3,38.4
Intel® Xeon® Processor E5 v2 Family,Server,2014,22,3,10,20,2.4,25,64-bit,95,768,4,59.7
Intel® Xeon® Processor E5 v2 Family,Server,2014,22,832,8,16,1.9,20,64-bit,95,384,3,38.4
Intel® Xeon® Processor E5 v2 Family,Server,2014,22,612,6,12,2.4,15,64-bit,60,384,3,38.4
Intel® Xeon® Processor E5 v2 Family,Server,2014,22,2,10,20,2.2,20,64-bit,95,768,4,59.7
Intel® Xeon® Processor E5 v2 Family,Server,2014,22,551,6,12,2.5,15,64-bit,80,384,3,38.4
Intel® Xeon® Processor E5 v2 Family,Server,2014,22,2,8,8,3.3,16,64-bit,130,768,4,59.7
Intel® Xeon® Processor E5 v2 Family,Embedded,2014,22,2,10,20,1.9,25,64-bit,70,768,4,59.7
Intel® Xeon® Processor E5 v2 Family,Embedded,2014,22,1,8,16,1.8,20,64-bit,60,384,3,38.4
Intel® Xeon® Processor E5 v2 Family,Server,2014,22,406,6,12,2.2,15,64-bit,80,384,3,38.4
Intel® Xeon® Processor E5 v2 Family,Server,2014,22,1,8,16,2.6,20,64-bit,95,768,4,51.2
Intel® Xeon® Processor E5 v2 Family,Embedded,2014,22,607,6,12,2,15,64-bit,50,384,3,32
Intel® Xeon® Processor E5 v2 Family,Server,2014,22,1,8,16,2.3,16,64-bit,95,768,4,51.2
Intel® Xeon® Processor E5 v2 Family,Server,2014,22,885,6,12,2.6,15,64-bit,95,768,4,42.6
Intel® Xeon® Processor E5 v2 Family,Server,2014,22,250,4,4,2.4,10,64-bit,80,384,3,32
Intel® Xeon® Processor E5 v2 Family,Embedded,2014,22,494,6,12,2.2,15,64-bit,60,384,3,38.4
Intel® Xeon® Processor E5 v2 Family,Server,2014,22,192,4,4,1.8,10,64-bit,80,384,3,32
Intel® Xeon® Processor E5 v2 Family,Server,2014,22,551,4,8,2.2,10,64-bit,95,768,4,42.6
Intel® Xeon Phi™ x100 Product Family,Server,2014,22,310.6126932084309,61,8.731416549789621,1.24,30.5,64-bit,270,16,16,352
Intel® Xeon® Processor E7 v2 Family,Server,2014,22,310.6126932084309,12,24,2.3,24,64-bit,105,1.54,4,68
Intel® Celeron® Processor 2000 Series,Embedded,2014,22,86,2,2,2.2,2,64-bit,37,32,2,25.6
4th Generation Intel® Core™ i7 Processors,Mobile,2014,22,310.6126932084309,2,4,3,4,64-bit,37,32,2,25.6
4th Generation Intel® Core™ i7 Processors,Embedded,2014,22,459,4,8,2,8,64-bit,27,32,2,25.6
4th Generation Intel® Core™ i7 Processors,Embedded,2014,22,459,4,8,2.7,8,64-bit,43,32,2,25.6
4th Generation Intel® Core™ i7 Processors,Mobile,2014,22,434,4,8,2.4,6,64-bit,47,32,2,25.6
4th Generation Intel® Core™ i7 Processors,Mobile,2014,22,378,4,8,2.8,6,64-bit,47,32,2,25.6
4th Generation Intel® Core™ i7 Processors,Mobile,2014,22,568,4,8,2.9,8,64-bit,47,32,2,25.6
4th Generation Intel® Core™ i5 Processors,Mobile,2014,22,310.6126932084309,2,4,1.5,3,64-bit,15,16,2,25.6
4th Generation Intel® Core™ i5 Processors,Mobile,2014,22,266,2,4,2.9,3,64-bit,37,32,2,25.6
4th Generation Intel® Core™ i5 Processors,Mobile,2014,22,281,2,4,2,3,64-bit,15,16,2,25.6
4th Generation Intel® Core™ i5 Processors,Mobile,2014,22,310.6126932084309,2,4,2.7,3,64-bit,37,32,2,25.6
4th Generation Intel® Core™ i5 Processors,Embedded,2014,22,324,2,4,2.5,4,64-bit,27,32,2,25.6
Intel® Celeron® Processor 2000 Series,Embedded,2014,22,86,2,2,1.5,2,64-bit,25,32,2,25.6
Intel® Xeon® Processor E7 v2 Family,Server,2014,22,4,15,30,2.3,30,64-bit,130,1.54,4,85
Intel® Xeon® Processor E7 v2 Family,Server,2014,22,5,15,30,2.5,37.5,64-bit,130,1.54,4,85
Intel® Xeon® Processor E7 v2 Family,Server,2014,22,6,15,30,2.8,37.5,64-bit,155,1.54,4,85
Intel® Xeon® Processor E7 v2 Family,Server,2014,22,1,6,12,1.9,12,64-bit,105,1.54,4,68
Intel® Xeon® Processor E7 v2 Family,Server,2014,22,1,8,16,2,16,64-bit,105,1.54,4,68
Intel® Xeon® Processor E7 v2 Family,Server,2014,22,2,10,20,2.2,20,64-bit,105,1.54,4,68
Intel® Xeon® Processor E7 v2 Family,Server,2014,22,2,12,24,2.3,24,64-bit,105,1.54,4,68
Intel® Xeon® Processor E7 v2 Family,Server,2014,22,3,12,24,2.6,30,64-bit,130,1.54,4,85
Intel® Xeon® Processor E7 v2 Family,Server,2014,22,4,15,30,2.3,30,64-bit,130,1.54,4,85
Intel® Xeon® Processor E7 v2 Family,Server,2014,22,5,15,30,2.5,37.5,64-bit,130,1.54,4,85
Intel® Xeon® Processor E7 v2 Family,Server,2014,22,6,15,30,2.8,37.5,64-bit,155,1.54,4,85
Intel® Xeon® Processor E7 v2 Family,Server,2014,22,6,6,12,3.4,37.5,64-bit,155,1.54,4,85
Intel® Xeon® Processor E7 v2 Family,Server,2014,22,6,10,20,3.2,37.5,64-bit,155,1.54,4,85
Intel® Xeon® Processor E7 v2 Family,Server,2014,22,6,15,30,2.8,37.5,64-bit,155,1.54,4,85
Intel® Xeon® Processor E7 v2 Family,Server,2014,22,5,15,30,2.2,37.5,64-bit,105,1.54,4,85
Intel® Xeon® Processor E7 v2 Family,Server,2014,22,5,15,30,2.5,37.5,64-bit,130,1.54,4,85
Intel® Xeon® Processor E7 v2 Family,Server,2014,22,4,15,30,2.3,30,64-bit,130,1.54,4,85
Intel® Xeon® Processor E7 v2 Family,Server,2014,22,3,12,12,3,30,64-bit,130,1.54,4,85
Intel® Xeon® Processor E7 v2 Family,Server,2014,22,3,12,24,2.3,24,64-bit,105,1.54,4,68
Intel® Pentium® Processor J Series,Desktop,2013.75,22,94,4,4,2.41,2,64-bit,10,8,2,21.3
Intel® Pentium® Processor N Series,Mobile,2013.75,22,161,4,4,2.17,2,64-bit,7.5,8,2,35.07890148212729
Intel® Pentium® Processor 3000 Series,Mobile,2013.75,22,161,2,2,1.2,2,64-bit,11.5,16,2,25.6
Intel® Pentium® Processor 3000 Series,Mobile,2013.75,22,161,2,2,1.7,2,64-bit,15,16,2,25.6
Intel® Pentium® Processor 3000 Series,Mobile,2013.75,22,134,2,2,2.3,2,64-bit,37,32,2,25.6
Legacy Intel® Pentium® Processor,Embedded,2013.75,34.664870689655174,310.6126932084309,2,4,2,4,NA,15,122.35792439372325,2.6157112526539277,35.07890148212729
Intel® Celeron® Processor J Series,Desktop,2013.75,22,72,2,2,2.41,1,64-bit,10,8,2,35.07890148212729
Intel® Celeron® Processor J Series,Desktop,2013.75,22,82,4,4,2,2,64-bit,10,8,2,35.07890148212729
Intel® Celeron® Processor N Series,Mobile,2013.75,22,107,2,2,1.6,1,64-bit,4.5,4,1,35.07890148212729
Intel® Celeron® Processor N Series,Mobile,2013.75,22,310.6126932084309,2,2,1.86,1,64-bit,7.5,8,2,35.07890148212729
Intel® Celeron® Processor N Series,Mobile,2013.75,22,310.6126932084309,2,2,2.13,1,64-bit,7.5,8,2,35.07890148212729
Intel® Celeron® Processor N Series,Mobile,2013.75,22,310.6126932084309,4,4,1.86,2,64-bit,7.5,8,2,35.07890148212729
